Company,Organization,Date,Headline,Article,Relevance
NVDA,NVIDIA Corporation,24-05-2017,BRIEF-Softbank has amassed a $4 bln stake in Nvidia Corp- Bloomberg ,* Softbank Group Corp has amassed a $4 billion stake in Nvidia Corp making it the fourth-largest shareholder in the chipmaker - Bloomberg  citing sources Source: https://bloom.bg/2qNPVLr Further company coverage:,topStory
NVDA,NVIDIA Corporation,27-06-2017,BRIEF-Nvidia to launch graphic cards specifically designed for cryptocurrency mining - CNBC ,* Nvidia will release graphic cards specifically designed for cryptocurrency mining through its partners - CNBC  citing source Source text - http://cnb.cx/2sXMDVf Further company coverage: (Bengaluru Newsroom),topStory
NVDA,NVIDIA Corporation,27-06-2017,Volkswagen  Nvidia to cooperate on artificial intelligence ,FRANKFURT  June 27 German carmaker Volkswagen said on Tuesday it would cooperate with U.S. chipmaker Nvidia on deep learning software that could be used to manage traffic flows or make it easier for humans to work with robots.,normal
NVDA,NVIDIA Corporation,27-06-2017,REFILE--Nvidia partners with Volvo  auto suppliers  in self-driving deals ,SAN FRANCISCO  June 26 Chipmaker Nvidia Corp announced on Monday it was partnering with Volvo Cars and Swedish auto supplier Autoliv to develop self-driving car technology for vehicles due to hit the market by 2021.,normal
NVDA,NVIDIA Corporation,27-06-2017,Volvo and Autoliv team up with Nvidia for self-driving cars ,STOCKHOLM Volvo Cars and Swedish car safety supplier Autoliv  have signed a deal with U.S. firm Nvidia Corp   best known for its graphics technology in computer games  to develop software systems for self-driving cars.,normal
NVDA,NVIDIA Corporation,27-06-2017,Volvo and Autoliv team up with Nvidia for self-driving cars ,STOCKHOLM  June 27 Volvo Cars and Swedish car safety supplier Autoliv have signed a deal with U.S. firm Nvidia Corp  best known for its graphics technology in computer games  to develop software systems for self-driving cars.,normal
NVDA,NVIDIA Corporation,05-07-2017,BRIEF-NVIDIA  Baidu announce partnership to accelerate AI ,* Nvidia - co   baidu announced partnership to bring artificial intelligence technology to cloud computing  self-driving vehicles and ai home assistants,topStory
NVDA,NVIDIA Corporation,31-07-2017,BRIEF-Nvidia Corp launches Nvidia Optix 5.0 SDK with ray-tracing capabilities​ ,* Nvidia Corp - ‍launch of Nvidia Optix 5.0 SDK with ray-tracing capabilities​ Source text for Eikon: Further company coverage:,topStory
NVDA,NVIDIA Corporation,08-08-2017,BRIEF-U.S. CPSC says Nvidia recalls european plug heads sold with power adaptors due to electric shock hazard ,* Nvidia recalls european plug heads sold with power adaptors due to electric shock hazard,topStory
NVDA,NVIDIA Corporation,10-08-2017,BRIEF-Nvidia reports 19 pct rise in quaretrly automotive revenue ,* Nvidia Corp - qtrly revenue from gpu business $1 897 million versus $1 196 million,topStory
NVDA,NVIDIA Corporation,10-08-2017,Nvidia's quarterly revenue rises 56 percent ,Aug 10 Nvidia Corp reported a 56 percent jump in quarterly revenue on Thursday  helped by strong demand for its chips used in data centers and gaming devices such as Nintendo Co Ltd's Switch.,normal
NVDA,NVIDIA Corporation,10-08-2017,BRIEF-Nvidia Q2 non-GAAP earnings per share $1.01 ,* Nvidia announces financial results for second quarter fiscal 2018,normal
NVDA,NVIDIA Corporation,11-08-2017,Nvidia shares fall on data center revenue but chips ride cryptocurrency boom ,Nvidia Corp's quarterly revenue in its widely watched data center and automotive businesses missed estimates  dragging down the chipmaker's shares that have nearly tripled in value over the past 12 months.,topStory
NVDA,NVIDIA Corporation,11-08-2017,UPDATE 3-Nvidia shares fall on data center revenue but chips ride cryptocurrency boom ,Aug 10 Nvidia Corp's quarterly revenue in its widely watched data center and automotive businesses missed estimates  dragging down the chipmaker's shares that have nearly tripled in value over the past 12 months.,normal
NVDA,NVIDIA Corporation,15-08-2017,Federal Circuit revives computer memory patent case against Nvidia ,A federal appeals court on Tuesday revived a non-practicing entity's patent infringement case against video chipmaker Nvidia Corp  finding that the asserted patent does not claim an abstract idea.,topStory
NVDA,NVIDIA Corporation,07-09-2017,BRIEF-Avitas Systems  a GE Venture  partners with Nvidia to enhance AI for robotic inspection and automated defect recognition ,* Avitas Systems GE Venture- Partnering with Nvidia to use some advances in artificial intelligence computing to optimize use of robotics Source text: [http://bit.ly/2wLeh9O] Further company coverage:,topStory
NVDA,NVIDIA Corporation,26-09-2017,Tesla shifts to Intel from Nvidia for infotainment: Bloomberg ,The giant information and entertainment screens in Tesla Inc's cars will now be powered by chipmaker Intel Corp after the electric carmaker replaced Nvidia Corp for that function  Bloomberg reported.,topStory
NVDA,NVIDIA Corporation,26-09-2017,Tesla shifts to Intel from Nvidia for infotainment - Bloomberg ,Sept 26 The giant information and entertainment screens in Tesla Inc's cars will now be powered by chipmaker Intel Corp after the electric carmaker replaced Nvidia Corp for that function  Bloomberg reported.,normal
NVDA,NVIDIA Corporation,03-10-2017,BRIEF-Creative Technology's unit files patent infringement lawsuit against Nvidia corp ,* Creative subsidiary Ziilabs files patent infringement lawsuit in the US against Nvidia Corporation,topStory
NVDA,NVIDIA Corporation,10-10-2017,NVIDIA unveils next-generation platform for fully autonomous cars ,LONDON Silicon Valley graphics chipmaker NVIDIA unveiled on Tuesday the first computer chips for developing fully autonomous vehicles and said it had more than 25 customers working to build a new class of driverless cars  robotaxis and long-haul trucks.,topStory
NVDA,NVIDIA Corporation,10-10-2017,UPDATE 1-NVIDIA unveils next-generation platform for fully autonomous cars ,LONDON  Oct 10 Silicon Valley graphics chipmaker NVIDIA unveiled on Tuesday the first computer chips for developing fully autonomous vehicles and said it had more than 25 customers working to build a new class of driverless cars  robotaxis and long-haul trucks.,normal
NVDA,NVIDIA Corporation,10-10-2017,BRIEF-Nvidia - Deutsche Post DHL Group and ZF partner to deploy test fleet of autonomous delivery trucks​ ,* Nvidia Corp - Deutsche Post DHL Group and ZF partnered together to deploy a test fleet of autonomous delivery trucks  starting in 2018​ Source text for Eikon: Further company coverage:,normal
NVDA,NVIDIA Corporation,10-10-2017,NVIDIA unveils next-generation chip for fully autonomous cars ,LONDON  Oct 10 Silicon Valley graphics chipmaker NVIDIA unveiled on Tuesday the first computer chips for developing fully autonomous vehicles and said it had more than 25 customers working to build a new class of driverless cars  robotaxis and long-haul trucks.,normal
NVDA,NVIDIA Corporation,06-11-2017,Rivals AMD  Intel partner to take on Nvidia ,Bitter rivals Advanced Micro Devices Inc and Intel Corp on Monday unveiled a partnership that will help the chipmakers take on Nvidia Corp.,topStory
NVDA,NVIDIA Corporation,06-11-2017,Rivals AMD  Intel partner to take on Nvidia ,Nov 6 Bitter rivals Advanced Micro Devices Inc and Intel Corp on Monday unveiled a partnership that will help the chipmakers take on Nvidia Corp.,normal
NVDA,NVIDIA Corporation,06-11-2017,BRIEF-Intel and AMD team up on PC chips to battle Nvidia- WSJ ,* Intel and AMD team up on PC chips to battle Nvidia- WSJ  citing sources‍​,normal
NVDA,NVIDIA Corporation,09-11-2017,Chipmaker Nvidia tops estimates on gaming  data center boost ,Nvidia Corp's  quarterly profit and revenue topped market estimates and the chipmaker also gave a strong revenue forecast for the current quarter  powered by demand for its graphics chips used in gaming and data centers.,topStory
NVDA,NVIDIA Corporation,09-11-2017,BRIEF-Nvidia Corp Q3 FY 2018 GPU business revenue of $2 217 million versus $1 697 million  ‍​ ,* Nvidia Corp Q3 fy 2018 gpu business revenue of $2 217 million versus $1 697 million  ‍​,normal
NVDA,NVIDIA Corporation,09-11-2017,BRIEF-Nvidia posts Q3 adj. earnings per share $1.33 ,* Nvidia announces financial results for third quarter fiscal 2018,normal
NVDA,NVIDIA Corporation,09-11-2017,Nvidia Corp reports 54.6 percent rise in quarterly profit ,Nov 9 Nvidia Corp reported a 54.6 percent rise in quarterly profit  driven by strong demand for its graphics chips used in gaming devices  data centers  autonomous vehicles and also by cryptocurrency miners.,normal
NVDA,NVIDIA Corporation,09-11-2017,Chip stocks tumble as top performer Nvidia set to report results ,SAN FRANCISCO Shares of chipmakers slumped on Thursday ahead of a quarterly earnings report from Nvidia Corp   the star performer of the high-flying sector over the past year.,normal
NVDA,NVIDIA Corporation,10-11-2017,Nvidia shares set record as Volta chips ensure future growth ,Shares of Nvidia Corp  hit a record on Friday  after it posted stellar quarterly results powered by higher demand for graphics chips used in gaming and data centers  and the rapid adoption of its new Volta chips for AI and driverless cars.,topStory
